eeschema (20100311 SVN-R2445)-RC5  >> Creation date: Fri 12 Mar 2010 11:31:16 AM EST

#Cmp ( order = Reference ) (with SubCmp)
| R31        0              (Sheet /)   (loc B10); SM0805      
| R32        47K            (Sheet /)   (loc E9); SM0805      
| R33        10K            (Sheet /)   (loc G5); SM0805      
| R34        47K            (Sheet /)   (loc E9); SM0805      
| R35        10K            (Sheet /)   (loc G5); SM0805      
| R36        47K            (Sheet /)   (loc E10); SM0805      
| R37        10K            (Sheet /)   (loc G5); SM0805      
| R38        10K            (Sheet /)   (loc G5); SM0805      
| R39        12K            (Sheet /Wiznet Networking/)   (loc A3); SM0805      
| R40        300            (Sheet /Wiznet Networking/)   (loc A4); SM0805      
| R41        49.9           (Sheet /Wiznet Networking/)   (loc C5); SM0805      
| R42        49.9           (Sheet /Wiznet Networking/)   (loc D5); SM0805      
| R43        1M             (Sheet /Wiznet Networking/)   (loc E5); SM0805      
| R44        49.9           (Sheet /Wiznet Networking/)   (loc C5); SM0805      
| R45        49.9           (Sheet /Wiznet Networking/)   (loc D5); SM0805      
| R46        200            (Sheet /Wiznet Networking/)   (loc C5); SM0805      
| R47        200            (Sheet /Wiznet Networking/)   (loc C6); SM0805      
| R48        330            (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| R49        330            (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| R50        330            (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| R51        330            (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| R52        330            (Sheet /Wiznet Networking/)   (loc B6); SM0805      
| R53        4.7K           (Sheet /Wiznet Networking/)   (loc A6); SM0805      
| R54        1M             (Sheet /USB Interface/)   (loc B2); SM0805      
| R55        10k            (Sheet /USB Interface/)   (loc B2); SM0805      
| R56        36k            (Sheet /USB Interface/)   (loc B3); SM0805      
| R57        1.5k           (Sheet /USB Interface/)   (loc B3); SM0805      
| R58        47k            (Sheet /USB Interface/)   (loc B3); SM0805      
| R59        0              (Sheet /USB Interface/)   (loc B3); SM0805      
| R60        0              (Sheet /USB Interface/)   (loc B3); SM0805      
| R61        10k            (Sheet /Power Supply/)   (loc B2); SM0805      
| R62        17.4K          (Sheet /Power Supply/)   (loc B2); SM0805      
| R63        11k 1%         (Sheet /Power Supply/)   (loc B2); SM0805      
| R64        1.64M 1%       (Sheet /Power Supply/)   (loc B2); SM0805      
| R65        34.8k 1%       (Sheet /Power Supply/)   (loc C2); SM0805      
| R66        1M 1%          (Sheet /Power Supply/)   (loc B2); SM0805      
| R67        0.025          (Sheet /Power Supply/)   (loc A3); SM0805      
| R68        270            (Sheet /FTDI USB UART/)   (loc B4); SM0805      
| R69        270            (Sheet /FTDI USB UART/)   (loc B4); SM0805      
| SW1        SW_PUSH        (Sheet /)   (loc C1);             
| SW4        DIPS_03        (Sheet /Wiznet Networking/)   (loc D7);             
| SW5        SWITCH         (Sheet /)   (loc B1);             
| SW6        SWITCH         (Sheet /)   (loc B1);             
| U1         VBAT           (Sheet /)   (loc D1);             
| U2         STM32F103      (Sheet /)   (loc B5); LQFP144     
| U3         TACT-SKQU      (Sheet /)   (loc D10); alps_tact_button
| U4         EMA406GPS      (Sheet /)   (loc G7); EM406       
| U6         W5300          (Sheet /Wiznet Networking/)   (loc B2); -LQFP100    
| U7         RD1-125BAG1A   (Sheet /Wiznet Networking/)   (loc C6); MagJack     
| U8         USB-TYPEB      (Sheet /USB Interface/)   (loc B2); mini-usb-b  
| U9         USBLC6-2P6     (Sheet /USB Interface/)   (loc B3); SOT23_6L    
| U10        LTC3827        (Sheet /Power Supply/)   (loc B2); TSOT-23     
| U11        LTC1771        (Sheet /Power Supply/)   (loc B2); MSOP8       
| U12        USB-TYPEB      (Sheet /FTDI USB UART/)   (loc B2); mini-usb-b  
| U13        FT232RL        (Sheet /FTDI USB UART/)   (loc B3);             
| U14        SD_CARD        (Sheet /)   (loc E10);             
| X1         8-16MHz        (Sheet /)   (loc E1);             
| X2         32.768KHz      (Sheet /)   (loc E2);             
| X3         ARDUINOSHIELD   (Sheet /)   (loc H7);             
| X4         25MHz          (Sheet /Wiznet Networking/)   (loc E5);             
#End Cmp

#Cmp ( order = Value ) (with SubCmp)
| 0            R5           (Sheet /)   (loc D2); SM0805      
| 0            R18          (Sheet /)   (loc G8); SM0805      
| 0            R26          (Sheet /)   (loc A10); SM0805      
| 0            R27          (Sheet /)   (loc B8); SM0805      
| 0            R28          (Sheet /)   (loc B10); SM0805      
| 0            R29          (Sheet /)   (loc B10); SM0805      
| 0            R30          (Sheet /)   (loc B10); SM0805      
| 0            R31          (Sheet /)   (loc B10); SM0805      
| 0            R59          (Sheet /USB Interface/)   (loc B3); SM0805      
| 0            R60          (Sheet /USB Interface/)   (loc B3); SM0805      
| 0.01uF       C37          (Sheet /Power Supply/)   (loc B1); SM0805      
| 0.025        R67          (Sheet /Power Supply/)   (loc A3); SM0805      
| 0.1uF        C16          (Sheet /Wiznet Networking/)   (loc D5); SM0805      
| 0.1uF        C17          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| 0.1uF        C18          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 0.1uF        C21          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| 0.1uF        C22          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 0.1uF        C24          (Sheet /Wiznet Networking/)   (loc C7); SM0805      
| 0.1uF        C25          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| 0.1uF        C26          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 0.1uF        C27          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| 0.1uF        C28          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 0.1uF        C29          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| 0.1uF        C30          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 0.1uF        C31          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 0.1uF        C33          (Sheet /Wiznet Networking/)   (loc B8); SM0805      
| 1.5k         R57          (Sheet /USB Interface/)   (loc B3); SM0805      
| 1.64M 1%     R64          (Sheet /Power Supply/)   (loc B2); SM0805      
| 1.8nF        C38          (Sheet /Power Supply/)   (loc B1); SM0805      
| 100nF        C1           (Sheet /)   (loc C1); SM0805      
| 100nF        C9           (Sheet /)   (loc D9); SM0805      
| 100nF        C10          (Sheet /)   (loc D9); SM0805      
| 100nF        C11          (Sheet /)   (loc D9); SM0805      
| 100nF        C12          (Sheet /)   (loc D9); SM0805      
| 100nF        C13          (Sheet /)   (loc D10); SM0805      
| 100uF        C45          (Sheet /Power Supply/)   (loc C3); SM1210L     
| 100uF        C46          (Sheet /Power Supply/)   (loc C3); SM1210L     
| 10k          R1           (Sheet /)   (loc C1); SM0805      
| 10K          R2           (Sheet /)   (loc B1); SM0805      
| 10K          R3           (Sheet /)   (loc B1); SM0805      
| 10K          R7           (Sheet /)   (loc D9); SM0805      
| 10K          R8           (Sheet /)   (loc D9); SM0805      
| 10K          R9           (Sheet /)   (loc D9); SM0805      
| 10K          R10          (Sheet /)   (loc D9); SM0805      
| 10K          R11          (Sheet /)   (loc D10); SM0805      
| 10K          R19          (Sheet /)   (loc A9); SM0805      
| 10K          R21          (Sheet /)   (loc H4); SM0805      
| 10K          R22          (Sheet /)   (loc H4); SM0805      
| 10K          R23          (Sheet /)   (loc H4); SM0805      
| 10K          R33          (Sheet /)   (loc G5); SM0805      
| 10K          R35          (Sheet /)   (loc G5); SM0805      
| 10K          R37          (Sheet /)   (loc G5); SM0805      
| 10K          R38          (Sheet /)   (loc G5); SM0805      
| 10k          R55          (Sheet /USB Interface/)   (loc B2); SM0805      
| 10k          R61          (Sheet /Power Supply/)   (loc B2); SM0805      
| 10nF         C4           (Sheet /)   (loc D2); SM0805      
| 10pF         C7           (Sheet /)   (loc E2); SM0805      
| 10pF         C8           (Sheet /)   (loc E2); SM0805      
| 10uF         C2           (Sheet /)   (loc D1); SM0805      
| 10uF         C3           (Sheet /)   (loc D1); SM0805      
| 10uF         C19          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| 10uF         C44          (Sheet /Power Supply/)   (loc B3); SM0805      
| 10uF         C47          (Sheet /Power Supply/)   (loc C4); SM0805      
| 10uF         C49          (Sheet /Power Supply/)   (loc B4); SM0805      
| 10uf/16V     C20          (Sheet /Wiznet Networking/)   (loc C7); SM0805      
| 10uF/16V     C32          (Sheet /Wiznet Networking/)   (loc C7); SM1210L     
| 10uF/16V     C34          (Sheet /Wiznet Networking/)   (loc B8); SM1210L     
| 11k 1%       R63          (Sheet /Power Supply/)   (loc B2); SM0805      
| 12K          R39          (Sheet /Wiznet Networking/)   (loc A3); SM0805      
| 150uF        C48          (Sheet /Power Supply/)   (loc B4); CP10        
| 15uH         L6           (Sheet /Power Supply/)   (loc B3);             
| 17.4K        R62          (Sheet /Power Supply/)   (loc B2); SM0805      
| 18pF         C14          (Sheet /Wiznet Networking/)   (loc E5); SM0805      
| 18pF         C15          (Sheet /Wiznet Networking/)   (loc E5); SM0805      
