Board :MB784 ,,PCB rev B,,,,,,,,,,,,,,
Designer name,Qing shao,,,,,,,,,,,,,,,


Part Number (ST or sub co),Quantity,"Description (fonction, value, ..)",Reference (topologic number),Version,Package,Manufacturer 1,Part#1,Manufacturer 2 second source,Part#2 Second source,Distributor,Order code,Fitted or not fitted,Supplied by (ST or Sub Co),ROHS Compliant,Comments,Variant
9161499,1,M74HC4060TTR,U24,,TSSOP16,ST,M74HC4060TTR,,,,,,ST,lead free,,base
,1,MT008-A(With button),U15,,JOY,Wealth Metal Factory Ltd (www.wealthmetal.com),MT008-A,,,,,,manley,lead free,,base
9176141,1,LD1117S25TR,U27,,SOT-223,ST,LD1117S25TR,,,,,,ST,lead free,,base
,1,25MHz (with socket),"X1, X3",,XTAL_socket,www.hosonic.com.cn,49S/25MHZ,,,,,,manley,lead free,,base
,1,32KHz oscillator,X2,,SM8,www.jfvny.com,MC306-G-06Q-32.768,,,,,,manley,lead free,,base
9151107,1,TRANSIL,Z1,,1R1C,ST,SMAJ5.0A-TR,,,,,,ST,lead free,,base
,1,MicroSD card,,,,KINGMAX,KINGMAX 2G or 4G card,,,,,,manley,lead free,,base
,4,Socket 25MHz oscillator,X1,,ICSO-01,KWANGHWA(www.cpu.com.tw/kh/conn/ics/icso.html),ICSO-01,,,,,,manley,lead free,,base
8000030,1,Smart card,,,,ST,Smart card,,,,,,ST,lead free,,base
8000037,1,USB flash disk,,,,ST,STM32-USBKEY1G/,,,,,,ST,lead free,,base
9153009,2,FET,"T1, T2",,,ST,STT5PF20V,,,,,,ST,lead free,,base
,1,NPN transistor,T3,,,,9013,,,,,,manley,lead free,,base
