"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"CN3","DB9/M","345mil","4250mil","400mil","4250mil","400mil","4468mil","T","90.00","DB9-male CAN connector"
"CN4","DB9/M","345mil","5600mil","400mil","5600mil","400mil","5818mil","T","90.00","DB9-male CAN connector"
"CN6","DB9/M","4155mil","4850mil","4100mil","4850mil","4100mil","4632mil","T","270.00","DB9-male UART4"
"CN7","ST-212-02V","297.638mil","2625mil","150mil","2625mil","150mil","2625mil","T","180.00","ST-212-02V"
"CN8","2*25P","900mil","4875mil","850mil","6075mil","850mil","6075mil","T","0.00","Header 25X2"
"CN9","2*25P","3600mil","4875mil","3550mil","6075mil","3550mil","6075mil","T","0.00","Header 25X2"
"D1","1504D","3075mil","3100mil","3075mil","3100mil","3075mil","3035mil","T","270.00","1N4148"
"D2","1504D","3175mil","3100mil","3175mil","3100mil","3175mil","3035mil","T","270.00","1N4148"
"JP1","SIP3","2450mil","3200mil","2450mil","3100mil","2450mil","3100mil","T","90.00",""
"JP10","SIP3","1575mil","6000mil","1475mil","6000mil","1475mil","6000mil","T","360.00",""
"JP11","SIP3","2100mil","3200mil","2100mil","3100mil","2100mil","3100mil","T","90.00",""
"JP12","SIP3","2275mil","3200mil","2275mil","3100mil","2275mil","3100mil","T","90.00",""
"JP13","SIP3","1925mil","3200mil","1925mil","3100mil","1925mil","3100mil","T","90.00",""
"JP14","SIP3","2625mil","3650mil","2525mil","3650mil","2525mil","3650mil","T","360.00",""
"JP15","SIP2","1750mil","3250mil","1750mil","3300mil","1750mil","3300mil","T","270.00",""
"JP16","SIP3","4225mil","2025mil","4125mil","2025mil","4125mil","2025mil","T","360.00",""
"JP17","SIP2","2975mil","3250mil","2975mil","3200mil","2975mil","3200mil","T","90.00",""
"SB3","JP2_SMD","1325mil","6200mil","1325mil","6200mil","1343mil","6208mil","T","180.00",""
"SB4","JP2_SMD","675mil","6200mil","675mil","6200mil","693mil","6192mil","T","180.00",""
"JP2","SIP2","2100mil","5525mil","2100mil","5575mil","2100mil","5575mil","T","270.00",""
"JP20","SIP2","3300mil","3250mil","3300mil","3300mil","3300mil","3300mil","T","270.00",""
"JP21","SIP2","1900mil","6000mil","1950mil","6000mil","1950mil","6000mil","T","180.00",""
"JP22","SIP2","2175mil","6000mil","2125mil","6000mil","2125mil","6000mil","T","360.00",""
"JP23","SIP3","2625mil","3825mil","2525mil","3825mil","2525mil","3825mil","T","360.00",""
"JP24","SIP3","2625mil","3200mil","2625mil","3100mil","2625mil","3100mil","T","90.00",""
"JP25","2*3P","1300mil","3250mil","1200mil","3200mil","1200mil","3200mil","T","90.00",""
"JP3","SIP3","2500mil","6000mil","2400mil","6000mil","2400mil","6000mil","T","360.00",""
"JP4","SIP3","3000mil","6175mil","2900mil","6175mil","2900mil","6175mil","T","360.00",""
"JP5","SIP2","600mil","4450mil","600mil","4400mil","600mil","4400mil","T","90.00",""
"JP6","SIP2","600mil","5800mil","600mil","5750mil","600mil","5750mil","T","90.00",""
"JP7","SIP3","1675mil","5650mil","1675mil","5550mil","1675mil","5550mil","T","90.00",""
"JP8","SIP3","1250mil","5650mil","1250mil","5550mil","1250mil","5550mil","T","90.00",""
